药	葯
药	藥
跃	躍
钥	鑰
娘	孃
痒	癢
养	養
扬	颺
扬	揚
杨	楊
样	樣
炀	煬
疡	瘍
让	讓
酿	釀
镶	鑲
镶	瓖
阳	陽
阳	暘
骧	驤
御	禦
渔	漁
语	語
饫	飫
驭	馭
鱼	魚
龉	齬
亿	億
忆	憶
鼹	鼴
彦	彥
瘪	牪
谚	諺
谳	讞
镍	鎳
陧	隉
严	嚴
俨	儼
腌	醃
酽	釅
阉	閹
业	業
邺	鄴
余	餘
与	與
欤	歟
畲	畬
舆	輿
蓣	蕷
铷	銣
睾	睪
峄	嶧
怿	懌
绎	繹
译	譯
阈	閾
驿	驛
演	縯
烟	煙
咽	嚥
兖	兗
橼	櫞
渊	淵
砚	硯
缘	緣
软	軟
铅	鉛
鸢	鳶
悦	悅
热	熱
阅	閱
焰	燄
厌	厭
厣	厴
恹	懨
盐	鹽
艳	艷
艳	豔
闫	閆
阎	閻
餍	饜
魇	魘
鲶	鯰
叶	葉
晔	曄
烨	燁
靥	靨
咏	詠
婴	嬰
嵘	嶸
撄	攖
狞	獰
璎	瓔
瘿	癭
缨	纓
茔	塋
荣	榮
营	營
萦	縈
蝾	蠑
赢	贏
颍	潁
颖	穎
呓	囈
瘗	瘞
秽	穢
艺	藝
誉	譽
诣	詣
锐	銳
预	預
鲵	鯢
圬	杇
乌	烏
吴	吳
呜	嗚
坞	塢
垭	埡
奥	奧
娱	娛
恶	噁
污	汙
袄	襖
误	誤
邬	鄔
钨	鎢
骜	驁
鳌	鰲
鳌	鼇
狱	獄
钰	鈺
媪	媼
愠	慍
氲	氳
温	溫
稳	穩
蕴	蘊
酝	醞
酝	醖
韫	韞
腽	膃
瓮	甕
拥	擁
痈	癰
痈	廱
洼	窪
卧	臥
栀	枙
涡	渦
窝	窩
莴	萵
蜗	蝸
讹	訛
缓	緩
顽	頑
娲	媧
聩	聵
侥	僥
祆	祅
娆	嬈
尧	堯
扰	擾
挠	撓
摇	搖
桡	橈
浇	澆
瑶	瑤
窑	窯
绕	繞
荛	蕘
蛲	蟯
谣	謠
遥	遙
铫	銚
饶	饒
鳐	鰩
鹞	鷂
缛	縟
鹆	鵒
熔	鎔
踊	踴
涌	湧
佣	傭
耸	聳
镛	鏞
俣	俁
佑	祐
优	優
忧	憂
怄	慪
纡	紆
邮	郵
鱿	魷
龋	齲
勖	勗
顼	頊
云	雲
韵	韻
芸	蕓
恽	惲
殒	殞
殒	抎
纭	紜
运	運
郓	鄆
郧	鄖
陨	隕
郁	鬱
愿	願
员	員
园	園
圆	圓
诨	諢
辕	轅
远	遠
鸳	鴛
鼋	黿
粤	粵
钺	鉞
钺	戉
为	為
伟	偉
伪	偽
卫	衛
喂	餵
围	圍
帏	幃
沩	溈
涠	潿
炜	煒
玮	瑋
纬	緯
苇	葦
诿	諉
谓	謂
违	違
闱	闈
韦	韋
韪	韙
吁	籲
游	遊
嵛	崳
潍	濰
犹	猶
维	維
莸	蕕
觎	覦
诱	誘
谀	諛
谕	諭
遗	遺
铀	鈾
铕	銪
鲔	鮪
润	潤
闰	閏
绒	絨
殷	慇
瘾	癮
银	銀
隐	隱
钇	釔
荫	蔭
阴	陰
饮	飲
应	應
鹰	鷹
义	義
仪	儀
医	醫
拟	擬
舣	艤
蚁	蟻
议	議
谊	誼
铱	銥
镱	鐿
尔	爾
迤	迆
异	異
诒	詒
贰	貳
贻	貽
迩	邇
铒	鉺
颐	頤
饴	飴
饵	餌
鲕	鮞
鸸	鴯
谥	謚
纫	紉
认	認
轫	軔
铟	銦
韧	韌
镒	鎰
赁	賃
饪	飪
眦	眥
借	藉
兹	茲
兹	玆
谘	諮
赀	貲
资	資
锌	鋅
鹚	鶿
鹧	鷓
绰	綽
鹊	鵲
栈	棧
残	殘
盏	盞
骣	驏
潜	潛
蚕	蠶
暂	暫
赚	賺
杂	雜
装	裝
庄	莊
场	場
墙	墻
墙	牆
壮	壯
奖	奬
奖	獎
妆	妝
嫱	嬙
将	將
帐	帳
张	張
桨	槳
桩	樁
樯	檣
浆	漿
肠	腸
脏	臟
脏	髒
苌	萇
蒋	蔣
蔷	薔
账	賬
赃	贓
赃	贜
酱	醬
锵	鏘
长	長
驵	駔
才	纔
灾	災
斋	齋
财	財
载	載
龇	齜
争	爭
峥	崢
挣	掙
枪	鎗
狰	猙
筝	箏
诤	諍
铮	錚
薯	藷
抵	牴
猪	豬
伫	佇
储	儲
着	著
槠	櫧
苎	苧
诅	詛
诋	詆
贮	貯
这	這
龃	齟
适	適
迹	跡
墒	墑
敌	敵
碛	磧
积	勣
积	積
籴	糴
绩	績
觌	覿
谪	謫
贼	賊
镝	鏑
淀	澱
专	專
传	傳
啭	囀
巅	巔
戋	戔
战	戰
戬	戩
毡	氈
电	電
癫	癲
砖	磚
笺	箋
缚	縳
缠	纏
腼	靦
诠	詮
转	轉
辁	輇
辗	輾
钱	錢
钿	鈿
铣	鐉
铨	銓
镌	鐫
阗	闐
颛	顓
颠	顛
颤	顫
饯	餞
窃	竊
疖	癤
绝	絕
节	節
念	唸
占	佔
点	點
沾	霑
垫	墊
渐	漸
折	摺
鲽	鰈
侦	偵
净	淨
净	凈
帧	幀
枨	棖
柽	檉
桢	楨
浈	湞
睁	睜
祯	禎
蛏	蟶
订	訂
贞	貞
郑	鄭
钉	釘
钲	鉦
铤	鋌
锭	錠
靓	靚
静	靜
顶	頂
堤	隄
制	製
侪	儕
剂	劑
哜	嚌
挤	擠
济	濟
绨	綈
缇	緹
脐	臍
荠	薺
蛴	蠐
诸	諸
跻	躋
锑	銻
际	際
霁	霽
题	題
鲚	鱭
鹈	鵜
齐	齊
齑	齏
吊	弔
雕	彫
噪	譟
条	條
枣	棗
灶	竈
粜	糶
组	組
绦	絛
缲	繰
茑	蔦
诏	詔
调	調
赵	趙
钌	釕
钓	釣
鲦	鰷
鲷	鯛
鸟	鳥
镞	鏃
踪	蹤
从	從
怂	慫
枞	樅
种	種
纵	縱
终	終
综	綜
肿	腫
钟	鐘
锺	鍾
锉	銼
周	週
注	註
朱	硃
胄	冑
丢	丟
俦	儔
凑	湊
厨	廚
帱	幬
昼	晝
橱	櫥
畴	疇
筹	籌
纣	紂
绸	綢
诛	誅
踌	躊
蹰	躕
辏	輳
铥	銩
铸	鑄
驻	駐
准	準
隽	雋
骏	駿
鳟	鱒
众	眾
众	衆
鲫	鯽
栉	櫛
骘	騭
缯	繒
证	証
证	證
赠	贈
抵	扺
志	誌
址	阯
冲	遲
挚	摯
渍	漬
纸	紙
贽	贄
踬	躓
轵	軹
轾	輊
迟	遲
鸷	鷙
织	織
职	職
晋	晉
尘	塵
尽	盡
尽	儘
缙	縉
缜	縝
诊	診
赈	賑
轸	軫
进	進
镇	鎮
阵	陣
陈	陳
侄	姪
质	質
轶	軼
鸩	鴆
执	執
絷	縶
缉	緝
辑	輯
征	徵
症	癥
惩	懲
叉	扠
砗	硨
车	車
鹾	鹺
凿	鑿
诼	諑
错	錯
龊	齪
漓	巑
撺	攛
攒	攢
灿	燦
瓒	瓚
窜	竄
缵	纘
赞	讚
赞	贊
趱	趲
蹿	躥
躜	躦
钻	鑽
馔	饌
刹	剎
咱	偺
铡	鍘
参	參
堑	塹
崭	嶄
忏	懺
惨	慘
惭	慚
搀	攙
斩	斬
椠	槧
碜	磣
谗	讒
谮	譖
谶	讖
錾	鏨
馋	饞
骖	驂
黪	黲
仓	倉
伥	倀
伧	傖
创	創
厂	廠
呛	嗆
怅	悵
怆	愴
戗	戧
抢	搶
枪	槍
沧	滄
涨	漲
炝	熗
畅	暢
疮	瘡
胀	脹
舱	艙
苍	蒼
跄	蹌
锖	錆
阊	閶
鲳	鯧
债	債
彩	綵
采	採
虿	蠆
钗	釵
册	冊
啧	嘖
帻	幘
栅	柵
箦	簀
责	責
凄	悽
凄	淒
处	處
觑	覷
只	隻
跖	蹠
尺	呎
戚	慼
出	齣
掷	擲
涤	滌
踯	躑
千	韆
荐	薦
冁	囅
浅	淺
溅	濺
蒇	蕆
贱	賤
践	踐
迁	遷
钏	釧
阐	闡
鞯	韉
彻	徹
缀	綴
辍	輟
辙	轍
铁	鐵
锇	鋨
佥	僉
檐	簷
签	簽
签	籤
裣	襝
觇	覘
谄	諂
叠	疊
谍	諜
贴	貼
辄	輒
钻	鉆
听	聽
厅	廳
请	請
鲭	鯖
体	體
屉	屜
滞	滯
缔	締
谛	諦
递	遞
剿	勦
迢	岧
础	礎
绡	綃
